ABA_Col_rna	ABA_g7g8_rna	Mock_Col_rna	Mock_g7g8_rna	ABA_Col_ribo	ABA_g7g8_ribo	Mock_Col_ribo	Mock_g7g8_ribo
AT1G71695	126.233253495609	118.038778425726	102.047593564711	104.821245131093	88.2862795674056	104.482285215228	81.0411856689832	72.4345064945529
AT1G69810	7.17197162663846	5.75553889065909	6.16701372231566	5.68668047219994	2.22289067440504	1.63162065724889	2.35270978262245	2.57212076474289
AT1G72450	3.26953305355265	5.41021814544999	6.09343505199237	7.91686943898669	9.97242077045614	8.06176777514643	14.0466562823665	18.3274681401178
AT1G15210	10.4613769288613	13.2437432437012	15.0305753694268	15.4785243113145	8.53546174896593	7.36780943787089	11.1479802763788	12.7030439931232
AT1G15250	12.9782071082718	16.0034497130024	30.223594345243	28.3573914707687	18.7916552768294	29.0192486009679	53.4022802140085	52.7547241886236
AT1G79700	8.72412836073629	8.96297008972623	5.22519408889232	8.07107965980371	5.28354119106233	7.30365057366409	4.83337130888264	4.63786447397273
AT1G26670	15.9995759183855	20.5930094860751	14.8657056169323	15.0483559903539	14.1127766318792	15.9951641224318	13.0315178304008	13.9194278369346
AT1G52200	1.73670765834496	1.90807449822022	4.76744011851544	4.3638384488555	1.95492532077524	2.73589299938075	4.90062920838678	7.76620044176275
AT1G69460	45.0428779680946	43.1084466087677	33.3896313719289	40.8885933698456	46.8508082166986	43.4878703482917	35.7004087429064	29.7096702997747
AT1G04310	11.4215871662776	14.4963342744475	7.21481807803083	6.61366354461984	8.70723568526211	6.49395087851626	3.8539281178896	4.06169862512268
AT1G75550	2.40493164939508	2.12528968668703	3.89522208099608	2.95254430870993	5.41444020148429	5.76163800019755	11.9954913429913	9.58312527541154
AT1G71890	3.55845935906695	2.64458762466975	6.21043710029241	4.57282541314432	9.2801302553802	4.94459856409609	13.2179971056114	9.60706309388215
AT1G05430	20.5410806437399	19.4270491482555	19.7786480971526	20.8238762925354	13.61695693692	12.853140535226	13.2568543179573	13.4303942188715
AT1G80870	7.65046122802651	6.6982785947315	7.81299013600518	7.19534180295539	5.70207395778137	4.46588066815281	7.19354084455897	7.87621440492972
AT1G75310	7.77030283380066	8.20130061937044	7.06972770769513	6.77975933283727	4.4966631293246	3.66144090876719	3.46529473312052	4.90988717628303
AT1G47900	12.0947773441943	10.9027218464203	13.2735518874673	11.2248637294165	8.65202223172713	8.21824042958631	9.61115600462929	10.5018649576204
AT1G26760	2.06751748213927	1.92753816375083	3.37093596226741	2.49430082714017	2.7324270531609	3.02187625911129	4.17169680543692	4.97725943836865
AT1G24575	2.83026027306344	2.31993721096042	1.35357140713956	1.79100335881268	4.37612295355972	3.03867356589724	4.54892346930329	3.11602507759392
AT1G04850	20.2362328405058	19.7705626340327	19.6013692295635	16.6628493176176	65.7756028238261	54.3847943920607	48.1880289165567	45.493048982319
AT1G74000	7.52597540922211	6.12565388347352	3.09144812918625	2.61126522332036	41.4691518050236	26.7506980492136	13.6554116722727	8.59035491397434
AT1G19715	28.86676938646	28.6970466747953	28.0458947408467	24.4854177264036	10.9854087722411	6.8916645046594	5.62413626609647	5.93660646277795
AT1G29890	12.0269403352257	12.8701152050601	12.0771033407674	12.9802553311319	8.29982000825601	9.09739476176865	7.46518807885039	9.14687534771411
AT1G48650	15.0924158093842	15.0618827832305	22.1046443811574	20.5716651047476	5.67477780212759	5.77042646686744	10.6321134334887	10.4468000776258
AT1G07030	16.3296109587614	12.7869337293283	16.6440889976333	12.7361657566157	3.0422473517025	4.79159557471594	5.31510958050779	5.26382351676605
AT1G10120	14.8135664376393	14.2021237468855	11.8857798177564	10.8010596846739	6.01922778795785	7.41892106032302	7.30532544372625	8.31609841900714
AT1G43650	2.6536747952181	2.12627639925446	2.34338308719337	1.84488705848375	5.89686149160976	4.3721680523645	5.90865822801549	2.75625884374807
AT1G09960	4.42780109457182	3.84019567584038	3.46641068554098	3.21132168896241	6.38417939406596	4.68968823323663	3.31536477109291	4.66249527397703
AT1G63360	7.72870688407806	5.77239299514598	7.27791208888671	7.15973920862863	2.24515020484922	2.37758357488304	2.94677569684085	3.38486492902775
AT1G33330	13.6498298773383	14.6810061253652	16.7436093805947	15.4117931838237	3.0983435580303	4.62512957010257	2.10287402045505	3.80945235441037
AT1G63430	11.0588374430117	11.2747324393106	9.99863902629686	9.21553216107809	5.24381529740317	5.70319094658868	5.30500161115509	5.28342850096791
AT1G80720	2.31898282906675	2.87649484151663	5.50908491279369	4.21000370880252	5.07523462976362	1.33952027267408	3.81277500952468	3.1361577190646
AT1G69770	8.91928641968276	7.84277546635338	12.222792746261	10.7175077570287	5.63081650324754	5.36226603057731	10.3231564750931	8.53175111192003
AT1G08460	7.35437240736796	7.70570901798168	6.94586990941004	5.80956111094994	2.45534124447094	3.49862777836982	2.55304518066608	2.66865834828032
AT1G08610	3.13946514734742	3.51107610566936	8.8106426059962	7.68140277450514	1.60565502577322	1.68834571199057	5.48049181662302	6.04538138962376
AT1G21610	7.34772955656889	6.6352447308394	6.08930948452219	5.33112899597844	4.17477957460671	4.29613295225613	4.02166929873409	5.68104979864331
AT1G79710	6.06963319291569	7.35277739982324	6.10052143510334	5.9613643510933	2.71051266464287	2.76907270276387	1.47746991363575	1.84201212600075
AT1G80840	11.1794294591949	6.7803505580146	9.57605874531833	15.7693464321061	2.99587730981139	6.94209376166052	2.77545111247454	6.81711891998832
AT1G49490	2.04527831363885	1.60209161806967	2.61236355334167	2.34205099574425	3.79518242547487	2.41446094404755	3.18114540597266	2.1804535839234
AT1G09795	24.9911632090918	24.2885393297109	25.8306741476638	22.9776137978365	23.4289960834253	32.2422452931159	25.8195880040991	29.7805913518726
AT1G49570	2.87210137216942	3.19304856205441	8.84302776626877	10.4007085474153	6.1310254778227	6.12991039857848	17.3755446184761	21.9856196152542
AT1G68470	2.57936422698035	1.70536685320374	1.07600645808856	1.41764129132615	2.05771484417988	1.86632174799879	1.16006236314681	1.21693309664657
AT1G75580	5.63263834278489	3.99343244501981	8.06201889704484	2.98199657850214	2.85782044474539	3.89627302811005	4.44229069525135	2.2112998274759
AT1G59970	7.53657843492838	5.7950516444878	9.48922660303616	7.73481383737246	10.2271643550321	7.922757080584	8.85102398337522	11.0534862015014
AT1G30640	4.9550288385895	5.06450507494675	2.70222672960245	2.29845059618975	6.09573584047204	4.82923088023517	2.83508750572862	3.5276598746622
AT1G26440	5.98846835421831	7.93866104266202	4.81462604414822	4.85497385163621	1.32591855131097	2.24760940692457	2.06362064522174	3.75135437487825
AT1G22070	10.8189306454708	11.713345424552	13.3706814663009	11.3840755911985	2.66871760855443	4.05470952045586	3.24551908903135	2.66275892192757
AT1G78180	23.3215686465847	18.0101070898525	19.6774963920573	18.0960137913033	15.661137462675	10.4093034373527	14.2557871435641	13.1642079391797
AT1G29880	57.6724639955197	55.6765585037582	77.8000508522575	73.4875834517323	75.5559114721568	57.8103269394761	94.2179401836761	92.4360780010004
AT1G53645	12.3643718179258	14.62086115667	25.6092724233954	21.3179662059252	18.4109182937082	13.0329295598552	28.0699212142082	24.6625879971661
AT1G06240	11.8525733254938	9.47255707699595	10.9489141136483	9.03845660764431	2.85565047088911	3.28264988050743	5.24281593935837	2.87114597673951
AT1G72330	6.83546468532087	4.77276312299216	8.11362150125742	6.12895705186234	4.69547348670175	2.91446131492475	6.11230776216638	5.98415954984198
AT1G20840	33.768321283868	36.5929172330112	43.1775907390856	41.2628944762275	21.8547122358301	22.3503011242444	37.2772401096551	36.1458977778331
AT1G45050	4.28300905396926	4.63509057319623	4.26313326032749	3.5259948950293	5.1552206424173	6.05490805177854	5.55369201192976	4.0252234028806
AT1G52500	5.18747445308727	4.92233874341945	6.80671393062124	5.70045262788254	4.01973799864188	2.16313705058647	4.9405088217103	5.9823293613606
AT1G10430	17.0414652312644	15.1817450356703	16.3412224874946	16.2852394465258	14.0074259391667	16.1762494287369	17.4138578604936	12.8431552565111
AT1G64110	16.992081160292	13.9511236428351	2.22759715342914	1.65591573485936	15.6354683907178	12.6565867406749	2.19337430795079	2.45961429532222
AT1G65220	38.0286982360172	42.4286830770789	36.1610693047722	38.3217067052993	23.5890890477812	29.8354663690846	23.0965579488006	28.7661589506492
AT1G55730	5.4565686978698	5.97815984675937	6.09596948020862	4.74927619837907	2.54832194783414	3.56493061129035	2.50711747123836	3.10858039583121
AT1G07310	27.4075272217877	35.5164906674681	28.4959618011327	24.2130867764492	29.3470327884005	33.3831107244575	22.3093317959705	25.8746716281768
AT1G52400	32.0386082817932	37.261057877084	10.1564425700213	10.333361951105	68.4544103244965	46.8063924427457	21.4044363208708	20.5664844533023
AT1G16430	2.20090366573625	3.47622017002584	6.02032237136343	4.05332749278608	2.09368227385236	1.39477279518965	1.17048921707593	1.33214319658691
AT1G27752	10.9338764553265	11.5945640522818	10.3952874757136	9.39563114826944	8.78015531205832	7.47194095510164	9.92701765490505	9.10127844590195
AT1G11190	1.83791470388487	3.21452131102375	1.25333169866795	1.24483116843863	3.59909616704549	4.66781161869906	1.88665599754195	2.87357474741704
AT1G26650	14.8755484440215	12.732539985879	14.983709155126	15.6365109256041	7.02337889421002	5.26505944802385	5.5949263384695	6.8114602626868
AT1G34640	10.2127346207854	8.98692959261776	10.792982054237	8.20454711255172	68.1510933600049	52.6753197838741	44.1948975858224	38.3791933999999
AT1G49430	15.1951215306834	13.7686160470857	11.1479190636594	12.648884509698	36.1394202411302	31.1083585666479	28.0875452693929	28.4600802625425
AT1G74240	2.26345380121517	1.87839494174229	2.44779005555317	2.50775532469179	1.6938946557026	2.06484228915368	4.16775663489311	4.82334361933618
AT1G47480	11.0561696145539	9.3871435836468	10.1143523286028	10.8454467327779	17.1671159492299	13.7403513957351	13.7329631428277	18.7149713948538
AT1G65820	13.7969315353651	12.6664459327424	12.5414298506108	14.3410931350782	89.1816424509965	105.96544154736	75.2369228675913	55.9157136560402
AT1G22900	2.56565095854414	3.13950116779164	5.1624961604501	3.75385379015694	5.75863110870666	6.66031412299888	5.60318912681524	5.30331684978071
AT1G35180	6.17516636354253	3.66188907207598	4.13761839187531	4.90503158959713	6.8564461991962	8.95081699631309	5.87248234970007	6.90749700047259
AT1G30070	7.86167564427059	8.50217326690707	9.89452683316628	7.41962097637425	11.8778306707965	11.5650646256366	14.4403656457383	17.5151077212207
