mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT4G14040	0.203878341263776	-0.58267593021565	-0.787001626428433	4.74449682148913e-20	1.59631193469986	0.80975768770368	-0.786448269212161	4.61065517934095e-29	-0.787001626428433	4.74449682148913e-20	1.55370208623714e-17
AT1G74470	0.0513422447509945	0.721983939194274	0.670505033791851	6.85420842682718e-20	-1.01302530524704	-0.342383572371862	0.670679698160895	3.11844474896476e-66	0.670505033791851	6.85420842682718e-20	2.20716935024547e-17
AT3G26060	-0.28493910090308	0.465829223207448	0.750693214436018	3.10965686861538e-19	1.18262998709153	1.93339835018387	0.750804554549451	1.96314372624225e-65	0.750693214436018	3.10965686861538e-19	9.84945579647831e-17
AT1G60850	0.0289431722380248	-1.88359595845863	-1.91534553288274	4.7771031490639e-19	3.77569601473244	1.86315706332619	-1.91330340595682	6.09042570204111e-43	-1.91534553288274	4.7771031490639e-19	1.48868403133974e-16
AT3G48690	-0.464429698333775	0.467724837843631	0.931757872623758	7.80986005678878e-19	-0.398372777047261	0.533781789635457	0.932304368589002	2.69983595996401e-31	0.931757872623758	7.80986005678878e-19	2.39514771678121e-16
AT5G14920	0.4609755189543	-0.359327624747687	-0.821072352366885	1.22020291169708e-18	-0.354000577759701	-1.17430369277342	-0.820322757953945	7.93300414903064e-23	-0.821072352366885	1.22020291169708e-18	3.6836781963905e-16
AT5G20630	-1.31614710545072	-0.471237221760994	0.844556329459379	1.26213356833883e-18	-0.692783294829068	0.152126663052698	0.844868756589719	2.47232705379899e-79	0.844556329459379	1.26213356833883e-18	3.75164348828839e-16
AT5G05600	0.558760568436303	-0.517126898003492	-1.07682922109908	1.96691573651795e-18	1.62711990152109	0.551232465492293	-1.07589475092601	9.93282247435614e-23	-1.07682922109908	1.96691573651795e-18	5.58864396253871e-16
AT3G62550	0.957545212309834	-0.0160416651881017	-0.97425720852679	1.95126644078831e-18	2.24988489508014	1.27629804825769	-0.973352310196007	4.72128629917787e-25	-0.97425720852679	1.95126644078831e-18	5.58864396253871e-16
AT1G44575	-0.100521942893019	0.54055212731695	0.640941978037894	1.95691406784857e-18	0.680846508162225	1.32192061710909	0.641053869046471	2.7273642478403e-76	0.640941978037894	1.95691406784857e-18	5.58864396253871e-16
AT3G51630	-0.133534499035776	-2.79372721666798	-2.66358149040024	1.20729750768465e-24	-0.793462397635864	-3.45365529976988	-2.6642486311064	2.13804426879267e-18	-2.6642486311064	2.13804426879267e-18	5.98683381410771e-16
AT5G13930	-0.207284061655495	0.447119804341032	0.654299113834958	3.87772767001931e-18	-0.289491990017939	0.364911911178147	0.654547638076979	1.40377081079703e-51	0.654299113834958	3.87772767001931e-18	1.0703082330349e-15
AT4G01310	-0.370957650016429	0.397696738881134	0.768468330591428	4.08043144650573e-18	-0.0363007434199328	0.732353682004887	0.768836436772069	2.51309543517029e-40	0.768468330591428	4.08043144650573e-18	1.11039459123855e-15
AT3G27850	-0.71490747170678	0.182602696954449	0.896869084109061	8.5467290085494e-19	-1.94562310238739	-1.04811294210283	0.897748219272394	8.44628949733748e-18	0.897748219272394	8.44628949733748e-18	2.26653832469524e-15
AT2G38140	-0.525885003308947	0.256101826134303	0.781846262049479	1.5608095542005e-17	0.808237117523939	1.59022399412546	0.781972020021303	1.70531908459254e-56	0.781846262049479	1.5608095542005e-17	4.13101388995998e-15
AT4G05320	0.0265887147984874	-0.55243492344987	-0.579318150730367	1.67138763191919e-17	-0.83373978464884	-1.41276339229897	-0.578952177147066	2.57311714551619e-29	-0.579318150730367	1.67138763191919e-17	4.3639027616636e-15
AT1G69620	-0.0361847094818871	-1.12081992968437	-1.08508712571512	1.97787898802162e-17	3.82536473874743	2.74072963954105	-1.08462474406767	3.60376905734546e-87	-1.08508712571512	1.97787898802162e-17	5.09527999034209e-15
AT2G20890	-0.290707546788756	0.460795473741223	0.750982437185691	2.21528535437035e-17	-1.05389868652207	-0.302395649047079	0.751615532330241	7.45077048995971e-24	0.750982437185691	2.21528535437035e-17	5.63178004365652e-15
AT3G21055	-0.162620377317948	0.437456466797435	0.600025614705128	2.38605570363399e-17	0.839566267699114	1.43964315392349	0.600132966732439	4.18151042335316e-105	0.600025614705128	2.38605570363399e-17	5.98714055193667e-15
AT2G21660	-4.86709099598191	-7.44258173750868	-2.59496166577066	3.10690673138845e-17	0.43965915950167	-2.13583092624684	-2.57586392655984	2.88945757633078e-40	-2.59496166577066	3.10690673138845e-17	7.69596730219952e-15
AT5G54270	0.354943446832523	-0.147794167556761	-0.502868704399596	3.77712769251664e-17	-0.69826239187725	-1.20099996403313	-0.502776706765631	3.247202457295e-66	-0.502868704399596	3.77712769251664e-17	9.23770685406505e-15
AT3G61430	0.416758810391613	-0.15129166517589	-0.568232995595898	3.88838133587418e-17	1.25798991298071	0.689939473561631	-0.56807134958176	2.61613365028691e-46	-0.568232995595898	3.88838133587418e-17	9.39092697380313e-15
AT2G20670	0.662266039208212	1.51245705213363	0.849736212365126	4.8227904104691e-19	-0.40927558531362	0.440915413938938	0.850783348026341	3.97661958327611e-17	0.850783348026341	3.97661958327611e-17	9.48546505783675e-15
AT4G29020	-0.154768920252995	0.463855131046799	0.618575897436804	4.73292372377704e-17	2.34547639985708	2.96410049180686	0.618581962286334	3.13846964438858e-119	0.618575897436804	4.73292372377704e-17	1.11518072276947e-14
AT1G32080	0.00873942731824941	0.812940596248453	0.803736854417303	6.31291685300246e-17	-0.623548281388057	0.180652904822632	0.804518198240306	1.32202108915612e-23	0.803736854417303	6.31291685300246e-17	1.4695405604441e-14
AT5G02500	0.204721204920253	-0.290874456021135	-0.495672178911059	8.22343864052243e-17	0.384778565696874	-0.110817060925606	-0.495614888671966	1.61984441175757e-50	-0.495672178911059	8.22343864052243e-17	1.89148878539921e-14
AT3G12120	0.301384777264302	-0.357743812623617	-0.659604248232763	1.58498560519124e-16	-1.11819912000243	-1.77732769155762	-0.65905370969362	8.29968558505952e-19	-0.659604248232763	1.58498560519124e-16	3.60276551504706e-14
AT2G46020	0.171049540079984	-0.835215873723035	-1.0073306631415	3.27917314043486e-18	0.111443876466318	-0.89482154390862	-1.00631143632239	1.86339154906263e-16	-1.00631143632239	1.86339154906263e-16	4.18634745574873e-14
AT5G64840	0.0238329530842154	1.02729958413046	1.00290030395564	2.78977005151359e-24	-2.05101222646492	-1.04754564096032	1.00402619334092	1.95009602105219e-16	1.00402619334092	1.95009602105219e-16	4.33078220951143e-14
AT3G55970	0.548802096004085	-0.660053632508537	-1.21040655496291	1.98478889483996e-16	1.64937531811572	0.440519605308967	-1.20879087649889	1.42112897966443e-17	-1.21040655496291	1.98478889483996e-16	4.3577393451367e-14
AT2G13360	0.105209207260239	0.680352099489591	0.575026285421629	2.00912503402629e-16	-0.821165838041461	-0.246022919781093	0.575299723721059	1.35521656892467e-35	0.575026285421629	2.00912503402629e-16	4.36160727892382e-14
AT5G23910	-0.300503835691098	-2.52432143633285	-2.22989823413525	4.25237102141123e-16	3.47805597645392	1.25423858449482	-2.22516277823689	1.5864619819966e-31	-2.22989823413525	4.25237102141123e-16	9.12889561163183e-14
AT3G61440	-0.121633705099267	0.445984829711544	0.567462295903861	5.2300709493016e-16	-0.113193044246844	0.454425518805738	0.567691450826422	1.97382522033592e-39	0.567462295903861	5.2300709493016e-16	1.11044176715886e-13
AT5G17230	-0.211436522282178	0.526182814520317	0.737252142555381	5.36732041347837e-16	-0.296069672013175	0.441549671185642	0.7377597190398	5.6632085677727e-19	0.737252142555381	5.36732041347837e-16	1.12719562726974e-13
AT5G65840	0.310559730065398	1.43237751167717	1.12149584718434	5.66388942434423e-16	1.26531952567378	2.38713732501882	1.12261250953342	7.73543479003345e-24	1.12149584718434	5.66388942434423e-16	1.17668825341672e-13
AT4G27450	0.141330387606358	1.3935111247963	1.25131343478277	1.88262619716549e-22	-0.838249725248086	0.413930950443993	1.25342281631308	8.4604477113937e-16	1.25342281631308	8.4604477113937e-16	1.73898202374295e-13
AT3G16430	-0.114186021676224	-0.884086279085108	-0.770386300215432	9.31240116221118e-16	2.85075827775666	2.08085807329033	-0.769913991304572	1.92034128511736e-38	-0.770386300215432	9.31240116221118e-16	1.89394634584297e-13
AT2G43030	-0.513623384570923	0.112008793287256	0.625375190823902	3.70660873751655e-15	-0.0240505240386953	0.60158168426095	0.625706728457134	1.66390733219203e-31	0.625375190823902	3.70660873751655e-15	7.45993618932888e-13
AT4G37930	0.137208434030918	0.664323207259022	0.52699541685358	4.29572524752992e-15	-0.301954738913424	0.225160065824057	0.527182718713599	9.44345330514925e-48	0.52699541685358	4.29572524752992e-15	8.55646469149749e-13
AT5G49360	0.666301779612511	0.0287039610366854	-0.637983147436037	5.85744413002718e-15	1.51223627683232	0.874638496338077	-0.637526422695721	2.63067554791565e-30	-0.637983147436037	5.85744413002718e-15	1.15481304118628e-12
AT3G62030	-0.194774871038921	0.389920804171003	0.584546288260076	7.1945907369818e-15	0.560886893907894	1.14558261142391	0.584676999635227	1.59512773245843e-64	0.584546288260076	7.1945907369818e-15	1.40410795585076e-12
AT3G11630	-0.41277380780311	0.263299994699819	0.675829605675271	7.74758011500959e-15	0.814033043123256	1.490106896262	0.676195811937362	1.33946895043641e-57	0.675829605675271	7.74758011500959e-15	1.496909954021e-12
AT5G16130	-0.294100930590315	0.606833400406403	0.900291265414889	8.20936686578071e-15	-0.424444183927201	0.476490139987779	0.90157532139332	2.81586926932915e-15	0.900291265414889	8.20936686578071e-15	1.57042749716583e-12
AT5G46110	-0.088861338619792	0.514507721419403	0.603287279311042	9.47332745984916e-15	-0.169093700975469	0.43427539507524	0.603408131657047	3.74124965614166e-38	0.603287279311042	9.47332745984916e-15	1.79445254756613e-12
AT3G53460	-0.141226774076264	0.447669570847922	0.588573285791646	1.01073967140434e-14	-0.829917520407216	-0.241021150773047	0.588963581241693	7.68257929978811e-26	0.588573285791646	1.01073967140434e-14	1.89597098943721e-12
AT5G53760	-0.0628537487193619	1.84388964690951	1.90545772559204	1.02477571495204e-14	0.147605366375332	2.05434873059587	1.91095050599738	7.88248965219651e-15	1.90545772559204	1.02477571495204e-14	1.90381649890273e-12
AT4G01050	-0.112487975761484	0.486153169432867	0.598310086616044	1.04217080176344e-14	-1.56712024334303	-0.968479096224115	0.598749859346415	1.77297035449463e-15	0.598310086616044	1.04217080176344e-14	1.91769352960681e-12
AT3G21540	0.721931709064201	-0.914032382364353	-1.63924705528838	1.16559036252178e-14	1.85237159222215	0.216407517818467	-1.63590985514891	3.47666749986525e-15	-1.63924705528838	1.16559036252178e-14	2.12456333908334e-12
AT1G52400	0.285200316286823	-0.551354387102586	-0.837056751971698	1.46442606201752e-14	1.47043209724854	0.633877401423068	-0.836583638162749	3.49290668003709e-16	-0.837056751971698	1.46442606201752e-14	2.64431550880752e-12
AT5G61410	0.110529186722227	0.77197599527114	0.661087010839931	1.65367306959197e-14	-0.500486720111208	0.16096010903603	0.66158444591794	1.9140187306442e-22	0.661087010839931	1.65367306959197e-14	2.95839049792467e-12
AT4G17090	-0.142064805979226	-0.89690825887009	-0.755629033807575	1.71295381421661e-14	1.38621478769077	0.631371367276601	-0.754802796522393	3.60891997799652e-21	-0.755629033807575	1.71295381421661e-14	3.0363284994935e-12
AT1G68590	-0.417205776873772	0.314369469986567	0.731192050498316	2.23558812517084e-14	-0.587344938038993	0.144230317165276	0.731951601439698	9.08958666094507e-17	0.731192050498316	2.23558812517084e-14	3.92670892422052e-12
AT3G56940	-0.0817042802566956	0.425864217242561	0.507369337540783	2.68467275432648e-14	-0.983504615743301	-0.475936089502224	0.50764908769414	3.70255270205589e-33	0.507369337540783	2.68467275432648e-14	4.67302362940018e-12
AT4G39940	0.448138724311048	-0.311500535413958	-0.760111373034685	2.85481605401845e-14	1.19010807245075	0.430468822694915	-0.759528674400247	1.56102325846843e-15	-0.760111373034685	2.85481605401845e-14	4.92481258747236e-12
AT3G54890	0.268214231252754	0.889812784905888	0.621591585665016	3.26882071789766e-14	0.430258225865554	1.05185684235091	0.621611537221471	3.88896366673583e-137	0.621591585665016	3.26882071789766e-14	5.58910487526555e-12
AT5G16970	-0.0538590585269505	0.805435414730634	0.858732003519605	1.10417614336695e-16	-0.792882957623811	0.0664114934138151	0.859887864970223	3.76623250178055e-14	0.859887864970223	3.76623250178055e-14	6.38310334797387e-12
AT1G48090	0.319414794124302	-0.58796139945792	-0.908501284266222	4.20548119719121e-14	1.01587553004638	0.108499344467679	-0.907304018106047	1.51824973901622e-14	-0.908501284266222	4.20548119719121e-14	7.06557410529838e-12
AT1G30380	0.245676130697832	0.911663514176933	0.665934327128027	4.52322129607558e-14	0.441347212187685	1.10733465823378	0.666064703209063	1.66868990271554e-104	0.665934327128027	4.52322129607558e-14	7.53389298805829e-12
AT5G59690	-0.0979073809952387	0.934601881864737	1.03157219070849	1.23734709193951e-14	-0.686958321697208	0.345550921656293	1.0332321913663	4.60307579477481e-14	1.0332321913663	4.60307579477481e-14	7.6013698658841e-12
AT2G20820	-0.198808794410597	0.779083674054167	0.977617485048266	4.92407479283541e-14	2.05013280693873	3.0280253390893	0.978125010974624	5.652878738055e-46	0.977617485048266	4.92407479283541e-14	8.06254653155702e-12
AT5G54600	-0.195104059837789	0.480906189081274	0.67581502440651	5.21531268304759e-14	0.597371293613449	1.27338157530126	0.676224171162836	7.59106024695908e-30	0.67581502440651	5.21531268304759e-14	8.46765179404727e-12
AT2G35370	-0.176218311686223	0.485565346234452	0.66141168274428	5.92400424762962e-14	-0.286491421702465	0.375292267838984	0.661898754218227	8.74888662639286e-27	0.66141168274428	5.92400424762962e-14	9.53814050570432e-12
AT4G28660	-0.286255033442132	0.509807651953247	0.795559389933979	6.58941815543453e-14	0.468853166014951	1.26491585695179	0.796398294208232	5.12068834575003e-17	0.795559389933979	6.58941815543453e-14	1.05218304281943e-11
AT4G22212	0.913354722282619	-0.290886948542163	-1.20614285695447	7.7061111896145e-14	2.01205850547006	0.807816894327329	-1.20379540785029	1.11529252146086e-17	-1.20614285695447	7.7061111896145e-14	1.22040798602083e-11
AT5G62670	0.348497840911832	-0.451857980165873	-0.801129174933243	7.81279131592107e-14	0.922870990083146	0.12251517887927	-0.80014166942789	1.0619777201278e-14	-0.801129174933243	7.81279131592107e-14	1.22724342288546e-11
AT1G05190	-0.322370698128081	0.369703399245932	0.691587913969137	7.91815341019859e-14	-0.511576921438753	0.180497203977549	0.69233656175643	1.34473185255961e-22	0.691587913969137	7.91815341019859e-14	1.23376324224554e-11
