Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT3G17010	0	1	0	0	0	0	0	3	0	0	0	1
AT3G57560	2	4	1	9	4	19	22	8	8	14	15	5
AT3G19400	0	0	0	1	0	0	0	0	0	0	0	0
AT3G53770	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01331	0	0	0	0	0	0	0	0	0	0	0	0
AT3G11720	2	1	1	2	0	5	1	4	0	1	9	7
AT3G26130	0	0	0	0	0	0	0	0	0	0	0	0
AT3G02885	0	0	0	0	0	0	1	0	1	1	0	0
AT3G16530	0	0	0	1	0	3	4	1	2	1	0	0
AT3G22565	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13340	1	1	2	0	0	0	0	1	0	0	0	0
AT3G20620	0	0	1	0	0	0	0	0	0	4	2	5
AT3G07570	0	0	0	0	0	0	1	0	0	0	0	0
AT3G15370	0	0	0	0	0	0	0	0	0	0	0	0
AT3G55605	0	0	0	0	0	1	1	1	0	0	0	0
AT3G54140	3	3	3	8	7	3	7	8	6	8	9	6
AT3G02720	0	1	0	1	1	0	4	2	1	0	1	0
AT3G23010	0	0	0	1	0	0	0	0	0	0	0	0
AT3G62390	0	0	1	0	1	1	1	2	0	2	2	0
AT3G46720	0	0	0	0	0	0	0	0	0	2	2	1
AT3G27640	0	0	0	0	0	0	0	0	0	0	0	1
AT3G01240	0	0	0	0	0	0	0	0	0	0	0	0
AT3G26180	0	0	0	0	0	0	0	0	0	0	0	0
AT3G07565	1	0	0	1	1	2	0	1	1	4	3	2
AT3G10360	1	1	13	7	12	11	11	6	5	20	31	24
AT3G21610	5	16	15	18	32	16	25	13	10	31	52	24
AT3G56320	0	0	0	3	2	0	0	0	0	0	5	0
AT3G12610	0	0	0	2	2	2	1	6	3	5	9	0
AT3G22800	0	0	0	0	0	0	0	0	0	0	0	0
AT3G18680	0	0	0	0	0	0	1	0	1	1	3	0
