Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G55200	7	6	8	13	8	3	3	16	14	27	29	20
AT1G17070	37	36	43	42	59	67	122	71	57	122	140	125
AT1G78090	6	13	23	16	31	34	36	28	27	53	67	29
AT1G70810	15	27	33	54	35	31	49	29	25	102	98	74
AT1G64750	54	52	73	220	207	202	201	149	142	327	432	301
AT1G46984	0	0	0	0	0	0	0	0	0	0	0	0
AT1G11460	0	0	1	0	0	0	0	0	0	1	0	0
AT1G78440	0	0	1	3	3	0	4	9	3	18	14	4
AT1G79570	51	72	96	105	95	98	180	153	106	242	316	141
AT1G09157	0	0	1	0	0	0	0	3	0	0	0	1
AT1G03720	0	0	0	0	0	1	0	0	0	0	0	0
AT1G01690	2	5	6	14	11	12	26	20	19	18	20	11
AT1G76230	0	2	0	1	0	2	0	0	0	0	0	0
AT1G63240	11	10	21	27	31	38	17	19	18	35	66	31
AT1G70960	2	0	0	0	0	0	1	1	0	0	0	0
AT1G34300	15	13	17	22	18	17	35	17	21	53	50	37
AT1G09680	3	2	2	6	6	2	3	4	3	6	13	5
AT1G42680	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29180	0	0	0	0	0	0	0	1	0	0	0	0
AT1G03730	7	14	10	23	14	29	40	34	25	62	63	40
AT1G18160	7	25	18	13	18	24	45	36	30	45	57	43
AT1G53490	1	3	3	1	3	3	10	9	1	8	5	2
AT1G77100	1	0	0	0	0	0	3	0	1	1	3	0
AT1G67130	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26260	0	1	1	7	7	4	6	7	1	10	16	9
AT1G64255	0	0	0	0	3	0	0	0	0	0	0	0
AT1G08290	10	3	2	11	8	6	6	6	5	3	6	9
AT1G12320	4	3	4	6	1	9	6	18	13	22	24	16
AT1G18990	0	0	0	0	0	1	0	2	0	3	4	0
AT1G11220	7	5	6	10	3	5	17	14	17	28	31	17
AT1G55207	0	5	0	0	0	0	1	1	0	1	2	0
AT1G74660	6	4	12	10	11	11	21	31	31	41	54	40
AT1G63460	5	9	6	2	6	4	24	18	11	11	21	11
AT1G55325	35	46	55	84	74	68	92	73	85	161	169	116
AT1G77660	5	0	4	6	3	5	7	10	4	20	28	13
AT1G30130	65	60	43	100	115	113	114	99	67	195	238	143
AT1G80390	0	1	2	0	0	0	0	0	1	0	4	1
AT1G31300	12	20	23	57	44	52	48	28	18	47	81	58
AT1G73750	4	7	4	10	5	8	5	2	8	10	3	8
AT1G55990	45	49	68	134	139	124	8	11	13	20	14	9
AT1G60570	1	0	0	0	0	0	2	0	0	0	0	0
AT1G68907	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66030	0	0	0	0	0	0	0	0	0	1	1	0
AT1G27170	7	9	8	4	9	15	4	2	8	13	8	3
AT1G04700	8	3	6	2	9	4	11	3	7	8	10	8
AT1G67050	14	22	22	26	22	42	63	52	51	87	126	67
AT1G76220	3	2	7	10	8	5	4	7	10	7	12	4
AT1G56400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78040	497	614	675	1100	965	1049	1650	1392	1368	2753	3186	2059
AT1G49170	3	6	2	2	10	0	3	8	5	11	4	6
AT1G31540	5	1	1	8	10	3	16	3	4	22	28	29
AT1G29420	0	0	0	0	0	0	0	0	1	0	0	0
AT1G64840	3	15	12	14	15	15	30	13	19	26	29	25
AT1G62030	6	15	2	12	15	22	10	19	17	29	15	18
AT1G60095	0	0	1	0	0	0	2	2	0	5	1	3
AT1G21230	0	0	0	0	0	0	1	0	0	1	0	0
AT1G21660	61	87	116	162	153	160	213	192	150	264	355	256
AT1G65320	22	19	18	46	39	40	39	38	35	76	67	47
AT1G50570	32	26	46	69	57	52	69	44	65	73	114	50
AT1G33850	0	0	0	0	0	0	0	0	0	0	0	0
AT1G47870	13	12	27	14	25	16	40	31	37	66	52	32
AT1G47680	0	0	0	0	0	0	0	0	0	0	0	0
AT1G48850	404	471	490	666	613	606	959	808	797	1085	1222	795
AT1G70440	0	1	6	2	0	3	0	0	2	0	2	2
AT1G65150	5	3	8	7	3	8	24	12	11	26	29	24
AT1G72800	8	10	9	27	21	16	12	25	20	23	53	27
AT1G09000	6	7	5	7	10	8	16	14	16	29	15	8
AT1G36160	673	813	867	897	871	947	923	793	782	1052	1403	814
AT1G02145	2	8	11	17	17	10	38	20	24	25	34	23
AT1G23510	1	6	0	0	0	0	0	0	0	0	0	0
AT1G51690	40	69	55	112	100	117	124	109	103	211	272	162
AT1G50650	0	0	0	2	0	0	2	0	0	0	0	0
AT1G47578	3	1	1	6	4	5	1	2	3	3	15	5
AT1G56105	0	0	0	0	0	0	0	0	0	0	0	0
AT1G06490	9	4	30	13	17	8	29	15	21	26	36	17
AT1G63640	9	11	24	36	47	23	54	53	43	88	115	49
AT1G19970	10	15	16	17	11	21	5	8	5	12	13	6
AT1G50110	12	17	12	19	25	28	39	36	33	67	99	44
AT1G21540	8	9	12	13	16	24	40	34	23	68	84	84
