Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT5G44300	0	0	0	0	0	0	0	0	0	0	0	0
AT5G10910	5	7	6	5	9	8	8	14	14	7	8	14
AT5G57090	17	13	14	34	17	18	26	25	28	15	23	25
AT5G02230	43	61	47	94	74	71	17	17	21	19	22	12
AT5G42500	17	13	7	17	11	13	28	18	23	18	20	18
AT5G12350	25	21	20	24	42	24	34	31	37	11	38	33
AT5G49120	1	6	7	7	9	5	1	1	0	0	0	2
AT5G01440	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43240	0	0	0	0	0	0	0	0	0	0	0	0
AT5G50650	0	0	0	0	0	0	0	0	0	0	0	0
AT5G06580	1	10	8	7	7	4	9	5	13	5	11	5
AT5G41750	0	0	1	0	0	0	0	2	0	2	2	2
AT5G01900	0	0	0	0	0	0	0	0	0	0	0	0
AT5G12390	2	16	12	13	8	12	17	16	30	11	16	22
AT5G23150	37	36	42	59	49	37	29	63	53	33	54	30
AT5G04430	181	284	249	295	238	230	428	407	385	231	412	264
AT5G20995	0	0	0	0	0	0	0	0	0	0	0	0
AT5G51010	49	121	77	109	103	92	74	73	98	40	98	91
AT5G15880	22	28	18	30	22	19	12	18	21	17	19	20
AT5G03800	0	1	3	3	4	5	6	1	7	4	1	2
AT5G40780	18	30	21	33	27	18	23	22	25	14	30	26
AT5G26630	0	0	0	0	0	0	0	0	0	0	0	0
AT5G04460	31	28	29	45	46	68	47	57	44	51	35	45
AT5G15910	31	29	33	52	47	43	44	50	34	34	39	44
AT5G35770	0	0	1	0	2	0	0	4	4	1	0	0
AT5G56450	2	13	9	9	8	12	7	12	15	4	16	7
AT5G55250	0	1	1	4	1	1	1	1	2	1	1	0
AT5G09520	302	195	229	160	144	212	10	8	22	9	18	19
AT5G35926	3	15	3	4	11	17	7	18	16	2	8	8
AT5G27610	9	6	6	4	4	2	4	2	2	4	6	6
AT5G10250	0	0	2	0	0	0	3	4	0	0	1	0
AT5G53290	2	9	4	3	2	3	12	8	7	4	7	5
AT5G41810	0	7	1	5	3	5	4	2	10	0	3	9
AT5G48390	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43170	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25960	0	0	0	0	0	0	0	0	0	0	0	0
AT5G26170	0	0	0	1	5	5	6	1	2	0	3	1
AT5G58070	287	307	244	316	265	287	183	151	193	176	184	218
AT5G62623	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52110	29	76	33	89	69	57	71	71	83	45	103	92
AT5G44680	4	11	6	42	32	42	27	26	29	11	50	33
AT5G06250	2	0	2	0	0	0	0	0	0	0	1	2
AT5G64890	1	1	0	0	0	0	0	0	0	0	1	0
AT5G51190	0	0	0	0	0	0	0	0	0	0	0	0
AT5G53250	28	50	34	77	72	64	58	67	72	55	90	86
AT5G03490	4	3	0	17	2	3	0	4	1	0	9	2
AT5G57560	17	30	16	56	27	48	65	55	57	38	87	60
AT5G02400	0	1	1	4	3	0	0	1	1	2	6	4
AT5G59080	27	40	38	46	70	70	45	43	35	44	69	54
AT5G36450	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40060	6	21	9	21	11	6	15	12	4	5	10	10
AT5G52520	94	143	136	111	116	85	166	192	174	135	182	95
AT5G42360	6	14	4	18	9	6	8	17	15	5	7	6
AT5G01560	1	4	1	1	3	2	4	0	1	0	1	1
AT5G41280	0	0	0	0	0	0	0	0	0	0	0	0
AT5G06220	9	24	13	19	27	31	16	29	33	9	20	23
AT5G55010	0	0	5	0	1	0	1	0	0	0	0	0
AT5G22130	6	10	10	15	3	16	16	15	13	10	23	13
AT5G37380	20	27	25	32	24	30	25	23	36	11	32	24
AT5G08160	40	50	26	80	39	56	83	48	67	34	72	39
AT5G12010	8	19	13	11	13	10	22	16	8	0	9	4
AT5G44280	8	8	16	9	8	9	4	8	11	2	3	14
AT5G43760	19	82	38	54	48	59	57	65	68	33	55	48
AT5G44650	69	87	92	69	78	82	100	91	91	87	74	94
AT5G56250	20	23	30	18	22	25	27	33	22	20	29	23
AT5G11412	0	0	0	0	0	0	0	0	2	0	0	0
AT5G04660	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54160	132	344	224	373	342	333	441	416	393	211	412	308
AT5G38195	0	0	0	0	0	0	0	0	0	0	0	0
AT5G58490	15	40	29	39	32	30	27	31	39	19	28	13
