gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G02640	41.14179269	18.23880855	40.86684276	20.27089611	49.6096389	17.79261763	49.0586101	17.67570191
AT1G29830	0	0.079042445	0.102233699	0	0.08460646	0	0.120276627	0.472512116
AT1G02630	0.187961583	0.026708422	0.022272618	0.027523665	0.09900502	0.508361709	0.132185429	0.066992891
AT1G67680	39.88725661	35.00693296	34.20198491	35.1326705	23.53398019	19.31767501	19.06858333	16.81866688
AT1G28120	18.07767011	16.67527301	15.03366101	19.93891897	15.47513579	14.40280801	13.77013848	20.91891505
AT1G74040	20.90160022	15.36772945	21.48445823	15.35286541	23.88535978	15.0562502	19.84595532	17.14150055
AT1G28230	1.924448228	5.021122987	1.94932642	5.92335807	3.431276673	5.196762369	2.42771689	4.171128814
AT1G64390	68.92230689	40.92689669	55.0878828	29.56443847	65.74505745	37.4542147	49.95633084	30.76089793
AT1G61190	11.25563295	10.52115982	10.408218	10.84422394	2.345618244	1.756058544	1.648872184	1.833374892
AT1G26690	6.305878851	12.46119618	7.276561131	8.383716795	14.70233118	21.37511271	13.39768611	22.47859977
AT1G03280	10.63077175	9.453853979	10.39174543	11.33986548	9.160325981	8.802383917	11.8683448	10.47441703
AT1G10155	0.107307917	0.060356294	0.050557421	0	0	0	0.021893317	0
AT1G34047	0.145724521	0.163928109	0	0.072873447	0.627396034	0.957243194	0.089193599	0
AT1G65250	1.024526415	0.710751887	0.994975655	0.465880577	0.298331695	0.144587403	0.444709244	0.348751211
AT1G75940	0	0	0	0	0.203491328	0	0	0.062735465
AT1G71270	9.537092514	8.696005988	8.186107431	8.828781645	11.93942991	13.11085305	16.27920455	11.98335497
AT1G64090	53.79597801	38.39385736	49.90209043	46.61114733	58.54013713	39.40423578	72.11575034	50.2986443
AT1G08670	1.77211679	1.079879675	1.568262094	1.227534855	1.855471085	2.746091126	2.429851959	1.976458066
AT1G51520	0.734763161	0.894864499	0.913524261	0.860811416	0.391857242	0.429577691	0.322129588	0.383382103
AT1G30250	0.255767751	0.258477465	0.196351436	0.106686195	0.462346985	1.233840778	0	0.147649352
AT1G16470	9.749913756	8.89808735	8.215795963	9.378868796	60.47727906	58.97211101	47.11069159	59.63409679
AT1G56380	0	0	0	0	0.256187658	0	0	0
AT1G65910	0.693602952	0.904842059	0.570807188	0.335537435	0.429483159	0.546689141	0.481372942	0.443741306
AT1G47271	0.254834537	0.785851322	0.211605232	0.380778653	3.126791821	2.601936927	2.974899193	3.21573204
AT1G35580	53.67188874	36.99546393	50.42634918	41.2221431	53.98784316	44.49019073	54.49581095	42.74418372
AT1G61540	0	0	0	0	0	0	0	0
AT1G65580	9.615701387	11.69966295	10.19809847	13.03562173	11.19230551	13.14648433	12.37174029	14.67347154
AT1G63330	0.14225807	0.146937997	0.205694707	0.145933315	0	0	0	0
AT1G65790	0.028419626	0	0	0.014753698	0	0	0.020990307	0
AT1G50140	7.697696063	6.212816007	5.740277044	5.558553579	5.993384634	4.153533216	4.960801134	3.533216498
AT1G22010	0	0	0	0	0	0	0	0
