Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G30814	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78930	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71695	0	1	3	2	0	3	1	3	1	5	1	2
AT1G58983	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	0	0	0	0	0	0	0	0	0	0	0	0
AT1G72450	6	5	7	14	8	24	25	23	20	33	36	30
AT1G76280	2	1	1	1	2	4	2	3	6	13	12	10
AT1G65630	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71390	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56233	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15250	0	0	1	0	0	0	1	2	1	0	0	0
AT1G79700	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73360	0	0	0	0	0	0	0	0	0	0	0	0
AT1G16360	0	0	2	0	0	0	2	0	0	0	1	0
AT1G10225	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26670	1	0	0	1	2	4	1	2	0	1	0	0
AT1G52200	1	0	0	2	2	0	1	2	3	7	3	7
AT1G57800	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69460	0	0	0	2	0	0	1	0	0	0	1	1
AT1G04310	0	1	0	0	0	0	1	0	0	0	0	0
AT1G08080	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75550	1	0	0	0	0	0	0	0	2	2	1	0
AT1G71890	1	0	1	0	0	0	0	1	0	0	4	0
AT1G05430	0	0	0	0	0	0	0	0	0	0	0	0
AT1G80870	0	0	0	0	0	0	1	0	0	0	0	0
AT1G75310	0	0	0	0	0	0	0	0	0	0	2	0
AT1G02010	0	0	0	0	0	0	0	0	0	0	0	1
AT1G47900	0	0	0	1	0	0	0	0	0	0	0	0
AT1G14315	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26760	0	0	0	0	0	0	0	0	0	0	1	0
AT1G05250	0	0	0	0	0	0	0	0	0	0	0	0
