Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G30814	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78930	6	1	3	2	3	0	9	3	6	4	5	10
AT1G71695	105	205	119	225	254	151	215	176	145	119	173	203
AT1G58983	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12980	0	0	0	0	0	0	1	0	1	1	0	0
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	0	1	1	0	0	2	0	1	0	3	2	3
AT1G69810	4	13	11	8	6	7	11	9	5	9	5	8
AT1G72450	12	12	16	17	12	24	32	37	20	34	28	30
AT1G76280	18	12	6	3	14	6	13	14	8	4	6	13
AT1G71390	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	16	13	22	16	29	13	13	33	19	21	21	19
AT1G15250	18	44	18	37	40	61	91	97	88	51	93	93
AT1G79700	25	38	34	38	24	30	20	40	28	21	36	33
AT1G73360	11	1	7	4	0	7	5	19	7	2	4	3
AT1G16360	0	0	0	1	0	0	0	0	0	0	0	0
AT1G10225	1	7	4	1	1	3	0	0	1	0	0	0
AT1G26670	3	5	5	13	9	8	11	9	4	4	4	20
AT1G52200	6	6	11	5	5	10	14	15	15	20	17	20
AT1G69460	119	116	111	103	121	108	88	89	84	144	111	108
AT1G04310	4	7	8	10	7	7	1	8	4	3	4	5
AT1G08080	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75550	4	6	2	10	8	7	14	11	20	12	8	22
AT1G71890	14	5	9	9	4	5	6	19	16	8	14	6
AT1G05430	27	23	31	18	13	17	23	17	16	30	12	17
AT1G80870	18	9	7	2	8	3	9	6	11	10	9	12
AT1G75310	2	4	5	0	5	2	14	4	4	9	11	11
AT1G02010	11	15	6	12	9	12	14	1	10	17	16	7
AT1G47900	20	7	10	5	5	6	14	3	7	9	18	19
AT1G26760	2	5	1	1	0	1	1	1	6	0	0	1
AT1G05250	0	0	0	0	0	0	0	1	0	1	1	0
AT1G67260	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24575	9	12	8	7	4	12	3	4	3	7	5	0
AT1G12790	2	1	5	0	0	1	0	0	6	4	0	0
AT1G04850	19	20	18	19	15	28	23	27	26	3	21	21
AT1G31760	0	7	2	1	3	2	3	2	2	1	2	1
AT1G33250	68	82	46	118	122	61	86	105	93	67	118	90
AT1G74000	23	11	6	1	7	3	3	3	0	3	2	3
AT1G55580	5	3	0	3	0	2	1	1	3	1	0	0
AT1G53903	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19715	51	57	46	63	51	55	46	58	66	31	45	41
AT1G69430	4	2	4	7	6	4	0	2	1	4	2	1
AT1G53340	0	2	1	0	1	1	2	0	0	1	5	1
AT1G29890	29	25	18	20	9	18	21	30	18	16	17	22
AT1G80290	19	9	18	15	8	5	31	24	20	15	12	17
AT1G56540	2	0	1	0	0	1	2	3	0	0	1	4
AT1G48650	9	18	17	26	26	21	34	34	37	34	34	26
AT1G07030	78	66	77	54	46	44	74	82	84	54	44	55
AT1G10120	47	63	54	61	53	58	33	58	46	40	54	33
AT1G43650	13	3	8	3	6	1	2	7	2	8	8	1
AT1G09960	14	12	7	5	12	7	14	12	13	7	13	13
AT1G53625	0	6	1	0	4	2	9	1	3	2	4	4
AT1G63360	12	7	4	3	4	1	8	13	6	3	3	2
AT1G33330	1	1	3	6	2	3	7	3	3	0	4	4
AT1G63430	12	15	11	21	11	16	29	35	22	2	17	15
AT1G80720	2	3	0	5	2	2	4	11	0	9	3	5
AT1G69770	24	12	5	6	9	10	26	15	9	18	16	22
AT1G08460	22	22	18	16	32	31	27	24	22	24	18	22
AT1G78710	53	45	46	71	47	56	76	61	63	40	56	64
AT1G08610	2	2	8	1	2	3	19	14	10	3	24	10
AT1G17540	0	0	0	0	0	0	0	0	0	0	0	0
AT1G27380	10	1	5	2	5	5	4	0	4	6	8	6
AT1G58643	0	0	0	0	0	0	0	0	0	0	0	0
AT1G48953	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51440	1	1	1	0	0	0	1	0	0	0	0	0
AT1G21610	18	11	12	13	19	11	14	22	8	9	9	9
AT1G79710	11	10	12	20	7	4	12	12	13	13	12	9
AT1G80840	12	16	2	5	3	6	6	9	10	15	15	10
AT1G49490	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23645	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09795	30	43	47	45	54	49	59	76	62	24	43	71
AT1G48690	13	9	10	9	5	17	12	9	13	5	3	5
AT1G49570	4	1	0	2	8	0	21	7	9	12	23	18
AT1G68470	5	1	1	0	0	2	0	0	0	1	0	3
AT1G75580	10	20	30	11	13	17	16	22	25	11	14	10
AT1G72980	0	0	0	0	0	0	1	0	0	0	0	0
AT1G59970	13	4	6	4	12	7	16	15	10	16	12	3
AT1G30640	17	19	12	22	19	17	6	15	8	9	10	9
AT1G26440	24	35	23	36	35	33	27	31	18	18	32	28
AT1G22070	4	5	1	12	8	6	12	14	12	4	11	13
AT1G26700	0	1	1	0	0	0	0	2	0	0	1	1
AT1G73603	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78180	14	8	12	7	9	4	8	13	4	5	12	11
AT1G55928	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29880	18	12	17	14	15	14	26	20	12	35	23	21
AT1G53645	24	31	15	23	27	19	47	60	39	46	45	36
AT1G06240	35	18	20	21	19	9	14	16	18	24	15	17
AT1G72330	20	23	17	16	27	6	38	29	16	20	13	12
AT1G20840	17	6	5	9	11	5	24	14	17	10	15	22
AT1G45050	13	15	7	21	18	25	23	21	18	8	19	18
AT1G52500	2	16	8	6	16	17	23	7	22	4	34	19
AT1G10430	75	44	61	58	66	50	86	53	68	43	53	104
AT1G05670	2	3	2	1	4	6	7	2	3	8	7	1
AT1G64110	26	26	22	18	29	18	3	3	4	2	2	7
AT1G65220	0	4	0	1	0	0	1	0	0	0	0	0
AT1G13635	3	3	4	0	0	0	4	0	1	1	1	0
AT1G54950	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55730	10	12	5	9	15	15	15	11	14	7	4	13
AT1G07310	60	50	53	62	126	63	71	69	62	51	75	78
AT1G77230	1	1	0	0	0	0	0	1	0	0	0	0
AT1G52400	30	77	40	78	104	50	21	26	16	12	26	20
AT1G16430	0	1	0	4	3	2	1	4	6	2	4	8
AT1G27752	28	49	41	53	66	40	63	70	73	33	67	83
AT1G14880	0	0	0	0	0	0	0	0	0	0	0	0
AT1G11190	11	5	1	10	5	6	3	0	1	1	2	4
AT1G26650	59	59	50	43	62	64	83	60	35	52	73	69
AT1G34640	22	19	19	27	16	21	20	30	26	14	17	31
AT1G50310	0	0	1	0	0	0	0	0	0	0	0	0
AT1G49430	35	15	20	13	29	16	15	30	19	21	19	40
AT1G74240	7	3	3	10	5	4	7	4	3	7	2	10
AT1G01760	1	0	0	0	0	0	0	0	5	0	0	1
AT1G61160	0	0	0	0	0	0	0	0	0	0	0	0
AT1G47480	26	8	15	9	17	7	10	10	6	19	8	18
AT1G65820	56	36	46	45	28	44	59	47	46	52	54	39
AT1G22900	2	0	0	0	0	1	2	2	2	0	0	1
AT1G52080	28	7	8	16	11	5	5	7	7	6	5	7
AT1G35180	19	5	14	1	10	2	2	11	3	23	12	7
AT1G30070	7	13	8	20	13	9	22	17	9	12	23	16
AT1G35210	3	3	1	3	0	1	6	5	4	6	7	7
AT1G10410	32	58	43	36	34	57	42	34	29	19	40	17
AT1G73740	63	23	42	23	29	17	18	16	18	17	16	15
AT1G53350	9	11	5	2	7	10	3	5	3	17	10	4
AT1G34110	43	35	17	26	32	27	42	55	28	20	35	18
AT1G17240	0	0	2	0	1	0	4	0	0	0	0	0
AT1G61730	105	38	46	45	41	27	74	81	61	64	83	86
AT1G29260	90	63	57	64	39	71	53	63	46	51	45	46
AT1G33890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G08040	2	4	1	1	2	2	3	2	5	2	1	2
AT1G63522	0	0	0	0	0	0	0	0	0	0	0	0
AT1G08810	38	31	32	29	50	43	61	56	41	49	36	84
AT1G09210	2	1	4	3	6	2	5	4	1	4	1	6
AT1G70080	0	0	0	0	0	0	0	0	0	0	0	0
AT1G10522	78	35	64	31	21	48	83	100	79	68	77	62
AT1G04570	3	2	1	1	3	2	0	0	7	1	4	2
AT1G01830	16	18	3	26	23	13	16	9	11	7	10	15
AT1G67590	42	42	32	41	20	28	29	27	33	23	42	19
AT1G69080	4	6	17	3	7	3	6	9	7	1	1	1
AT1G31400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73300	0	4	2	0	0	1	3	3	0	0	6	4
AT1G05760	11	4	12	9	10	10	7	12	7	14	21	4
AT1G30530	39	54	42	51	45	22	46	53	48	33	44	58
AT1G12480	1	0	1	1	6	0	0	1	1	0	3	4
AT1G76850	50	66	43	70	56	42	83	41	80	37	73	61
AT1G44130	2	0	0	0	0	0	0	0	0	0	0	3
AT1G67340	28	42	28	25	34	35	46	34	21	24	28	16
AT1G43666	0	0	0	0	0	0	0	0	0	0	0	0
AT1G08630	5	6	6	1	4	4	0	1	0	0	0	2
AT1G66150	22	37	26	49	55	40	54	43	49	30	53	34
AT1G04640	32	25	37	29	27	33	51	39	47	30	41	30
AT1G56500	377	261	304	285	283	272	304	321	270	331	342	353
AT1G77120	98	104	64	101	88	39	14	20	15	14	24	36
AT1G50590	9	3	10	2	2	2	0	5	1	6	1	6
AT1G17147	9	4	4	5	11	19	12	20	13	11	15	19
AT1G44740	0	1	4	0	0	0	0	1	0	0	0	1
AT1G08005	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24380	0	0	0	0	0	0	0	0	0	0	0	0
AT1G60787	2	5	1	2	1	1	2	3	1	3	9	7
AT1G26796	0	0	0	0	0	0	0	0	0	0	0	0
AT1G68500	24	46	27	50	52	49	14	21	14	17	20	21
AT1G15500	301	218	249	187	173	175	356	315	340	360	327	344
AT1G77760	550	247	196	371	404	279	397	365	281	654	613	543
AT1G24062	0	0	0	0	0	0	0	0	0	0	0	0
AT1G53510	35	30	39	40	28	34	45	45	52	37	32	28
AT1G51410	0	0	0	0	0	0	1	0	0	0	0	0
AT1G50020	95	78	98	106	81	81	75	67	79	49	59	85
AT1G22370	44	51	49	62	74	67	16	14	13	18	15	13
AT1G17270	3	3	4	3	11	3	11	9	7	10	7	7
AT1G74350	4	0	3	0	0	2	2	1	2	0	5	1
AT1G75230	50	24	9	27	18	12	16	18	15	33	7	10
AT1G29150	18	13	16	16	21	12	18	18	13	11	19	16
AT1G17140	32	46	38	22	33	32	43	39	28	21	35	23
AT1G08380	2592	2761	3089	3602	3308	3355	3009	2763	2632	3275	3566	4355
AT1G43560	77	19	58	30	29	17	34	33	42	41	26	50
AT1G07700	38	68	34	60	37	61	42	72	64	45	58	60
AT1G33750	15	24	13	7	11	16	16	9	17	13	10	4
AT1G61270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G14750	2	1	2	1	3	0	0	1	4	1	5	0
AT1G05900	7	4	1	4	7	5	5	8	4	1	4	6
AT1G44120	0	1	1	2	0	0	2	0	2	0	0	0
AT1G37130	971	412	613	561	661	427	567	590	615	873	639	671
AT1G48175	7	14	9	8	9	8	10	11	21	9	9	11
AT1G72140	38	13	18	14	18	20	12	29	23	10	5	21
AT1G66465	0	0	0	0	0	0	1	0	0	0	0	0
AT1G14420	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01710	18	19	16	18	17	14	28	28	15	18	23	38
AT1G44000	229	161	179	145	151	158	141	183	165	161	186	202
AT1G73960	41	16	17	20	30	16	24	29	33	14	46	32
AT1G11360	60	69	30	64	68	78	95	94	80	41	72	55
AT1G04490	4	0	2	0	2	0	1	1	0	0	0	2
AT1G78476	4	0	0	4	1	0	2	0	2	0	2	0
AT1G15310	7	18	6	17	13	13	10	10	8	11	4	4
AT1G13300	9	11	6	7	16	11	16	17	12	17	15	11
AT1G55530	6	9	8	11	10	20	6	9	10	17	6	6
AT1G74458	10	31	20	35	34	21	15	26	21	23	17	16
AT1G32120	3	1	2	6	0	2	0	2	3	1	2	1
AT1G31480	6	6	6	0	4	4	8	3	1	5	4	4
